"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C01_008E","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M","S1901_C04_006E"
"310M100US16500","Centralia, WA Micro Area","30134","888","7.4","1.9","5.6","1.9","13.7","2.7","11.8","2.5","18.6","3.2","19.0","2.6","2.2","10.1","2.8","3.0","1.9","1.3","0.9","42927","2347","55484","3568","29.7","(X)","(X)","(X)","(X)","(X)","19997","1151","3.8","1.6","1.5","1.0","9.6","3.0","11.4","3.3","16.9","3.6","23.7","4.0","12.7","3.1","14.6","4.1","4.1","2.7","1.7","1.2","54921","2985","67193","5180","(X)","(X)","31.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","59230","4174","9.5","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10137","1199","14.6","5.0","13.9","5.1","23.1","6.5","13.8","4.9","6.0","8.6","3.2","3.1","2.0","1.8","2.4","0.3","0.5","0.0","1.5","24333","2933","30719","3741","(X)","(X)","(X)","(X)","25.5","(X)","20.7"
"310M100US16540","Chambersburg, PA Micro Area","58515","1414","5.3","1.4","4.0","1.1","9.7","1.9","11.7","2.1","17.0","2.4","22.4","2.6","1.7","12.2","1.7","3.3","1.1","1.7","0.7","51938","2176","63111","2561","21.5","(X)","(X)","(X)","(X)","(X)","41469","2006","3.8","1.5","2.6","1.2","6.3","2.1","9.5","2.2","16.1","2.6","24.5","3.4","15.6","2.5","15.9","2.2","4.1","1.5","1.7","0.7","61559","3041","71133","3353","(X)","(X)","21.9","(X)","(X)","(X)","33832","1825","0.8","0.9","1.1","0.8","5.4","1.9","8.2","2.4","15.6","2.9","25.5","3.7","18.2","2.9","18.3","2.8","4.9","1.8","2.0","1.0","68051","4325","12.8","N","N","(X)","(X)","(X)","(X)","(X)","(X)","17046","1542","9.2","3.8","8.7","2.6","18.9","4.6","18.1","4.8","5.5","16.0","4.3","4.7","2.3","3.3","2.2","1.4","1.4","0.7","0.8","31348","3585","39759","3419","(X)","(X)","(X)","(X)","19.6","(X)","18.8"
"310M100US16580","Champaign-Urbana, IL Metro Area","92073","1924","10.9","1.8","4.9","1.1","12.5","1.8","9.5","1.4","13.8","1.6","17.7","1.7","1.7","11.7","1.5","3.3","0.8","3.5","0.8","47632","2614","63088","2552","27.9","(X)","(X)","(X)","(X)","(X)","52488","2198","4.0","1.5","3.1","1.1","6.4","1.9","7.5","1.7","13.9","2.0","20.2","2.5","17.2","2.5","17.2","2.5","4.9","1.3","5.8","1.4","68868","3232","83433","4339","(X)","(X)","27.3","(X)","(X)","(X)","39744","2169","0.8","0.5","1.5","0.8","3.4","1.2","5.2","1.4","12.0","1.8","20.9","2.6","20.6","3.0","21.6","3.2","6.4","1.7","7.3","1.8","79899","4306","12.3","96849","5096","(X)","(X)","(X)","(X)","(X)","(X)","39585","2182","20.4","3.6","7.6","2.0","20.5","3.4","13.9","2.6","2.6","13.3","2.5","5.0","1.6","3.5","1.2","1.1","0.7","0.4","0.3","26007","2028","34418","2084","(X)","(X)","(X)","(X)","28.3","(X)","14.4"
"310M100US16620","Charleston, WV Metro Area","127153","2074","7.8","1.2","6.7","1.1","13.9","1.5","9.9","1.3","13.5","1.4","20.7","1.9","1.4","10.0","1.3","2.7","0.7","2.6","0.6","47610","2559","61892","2829","30.6","(X)","(X)","(X)","(X)","(X)","81171","2839","5.4","1.4","3.5","0.9","8.6","1.5","10.2","1.6","13.5","1.5","23.1","2.5","15.7","1.8","13.0","1.7","3.8","1.1","3.2","0.8","58567","3003","72637","3094","(X)","(X)","30.9","(X)","(X)","(X)","62380","3114","2.1","1.1","1.3","0.6","6.7","1.5","8.5","1.9","12.8","1.7","25.8","3.0","18.0","2.2","16.0","2.1","4.7","1.3","4.0","1.0","68443","2077","12.2","82803","3785","(X)","(X)","(X)","(X)","(X)","(X)","45982","2580","13.7","2.2","12.4","2.3","23.0","3.2","10.0","2.1","2.4","15.0","2.9","5.7","2.0","4.5","1.6","0.6","0.4","1.4","0.8","25714","3245","41556","4443","(X)","(X)","(X)","(X)","28.9","(X)","13.8"
"310M100US16660","Charleston-Mattoon, IL Micro Area","24957","1144","10.5","2.6","8.7","2.5","19.3","3.9","13.3","2.7","15.1","3.8","14.3","3.2","2.4","6.5","2.1","0.8","0.6","2.0","1.2","33319","3278","50758","5735","25.4","(X)","(X)","(X)","(X)","(X)","13715","1083","5.1","2.6","4.7","2.6","12.5","3.4","11.6","3.4","17.2","4.1","18.2","4.9","14.3","4.0","11.4","3.5","1.5","1.0","3.6","2.3","48527","8427","70409","10438","(X)","(X)","25.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","64781","6524","9.5","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11242","1232","17.4","5.1","15.7","4.8","27.8","7.5","14.2","4.9","5.2","9.3","4.0","3.1","1.7","0.5","0.8","0.0","1.2","0.0","1.2","21194","1458","25808","2403","(X)","(X)","(X)","(X)","24.6","(X)","12.2"
"310M100US16700","Charleston-North Charleston-Summerville, SC Metro Area","262131","3970","8.4","0.8","5.4","0.7","10.0","1.0","10.3","0.9","15.8","1.3","19.8","1.5","1.0","10.8","1.0","4.2","0.6","3.8","0.5","50108","1390","67984","2264","31.7","(X)","(X)","(X)","(X)","(X)","170714","4474","5.2","0.9","3.6","0.8","9.1","1.2","8.9","1.2","14.3","1.5","22.1","2.0","13.2","1.3","13.7","1.3","5.0","0.8","5.0","0.8","59757","2413","78999","3270","(X)","(X)","31.4","(X)","(X)","(X)","118900","4571","1.5","0.5","1.4","0.6","5.6","1.1","6.5","1.1","12.7","1.6","23.6","2.2","16.6","1.9","18.3","1.8","6.9","1.1","6.9","1.1","73219","2702","11.6","96374","4334","(X)","(X)","(X)","(X)","(X)","(X)","91417","4161","15.3","1.9","9.5","1.3","12.9","1.8","12.5","1.7","2.1","14.4","1.8","8.2","1.2","5.1","1.1","2.6","1.1","1.3","0.6","34739","2311","45416","2608","(X)","(X)","(X)","(X)","31.0","(X)","18.2"
"310M100US16740","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","675362","4974","7.1","0.5","5.1","0.4","10.5","0.6","10.3","0.6","14.3","0.7","18.3","0.8","0.7","12.4","0.7","4.5","0.4","5.4","0.4","52470","1044","74924","1443","26.2","(X)","(X)","(X)","(X)","(X)","449649","6773","5.3","0.6","3.1","0.4","8.2","0.6","9.3","0.6","13.4","0.7","18.5","0.9","14.2","0.9","15.0","0.9","5.9","0.5","7.2","0.6","63849","1663","87410","2064","(X)","(X)","26.8","(X)","(X)","(X)","325985","6306","1.9","0.4","1.2","0.3","4.9","0.5","6.9","0.6","12.3","0.8","19.2","1.0","17.4","1.0","19.1","1.2","7.7","0.7","9.5","0.7","80170","1337","12.2","104488","2468","(X)","(X)","(X)","(X)","(X)","(X)","225713","6228","12.1","1.1","9.3","1.0","15.7","1.2","12.8","1.2","1.3","16.8","1.4","7.5","0.8","6.6","0.8","1.4","0.4","1.6","0.4","35126","1723","47603","1896","(X)","(X)","(X)","(X)","23.6","(X)","16.3"
"310M100US16820","Charlottesville, VA Metro Area","77795","2543","7.8","1.5","3.6","1.2","7.7","1.4","8.8","1.5","13.0","1.7","17.4","2.1","1.8","17.4","1.8","5.2","1.0","6.3","1.2","62880","3623","84133","4258","32.1","(X)","(X)","(X)","(X)","(X)","50432","2561","4.5","1.6","1.9","1.0","4.5","1.3","7.1","1.7","10.9","2.0","17.1","2.6","15.9","2.3","22.2","2.6","7.3","1.6","8.6","1.7","79882","4271","100458","5507","(X)","(X)","32.6","(X)","(X)","(X)","40855","2782","1.7","1.1","1.3","1.1","3.3","1.2","4.9","1.4","7.6","2.2","18.3","2.9","18.6","2.9","25.5","2.8","8.1","1.8","10.5","2.1","89384","4525","12.9","N","N","(X)","(X)","(X)","(X)","(X)","(X)","27363","2160","14.0","2.9","7.6","2.5","13.2","3.0","12.8","3.5","3.3","17.6","3.5","5.5","2.2","8.3","3.0","1.1","0.8","2.0","1.2","36545","2996","51676","7570","(X)","(X)","(X)","(X)","30.5","(X)","17.9"
"310M100US16860","Chattanooga, TN-GA Metro Area","207794","3585","7.8","1.1","8.1","1.0","12.1","1.0","13.0","1.3","14.8","1.2","17.7","1.3","0.9","10.2","1.0","3.2","0.5","2.6","0.4","43475","1803","60751","1918","25.7","(X)","(X)","(X)","(X)","(X)","137156","4041","4.7","1.0","3.8","0.9","9.3","1.2","12.0","1.5","14.5","1.5","20.9","1.5","13.2","1.3","14.0","1.4","4.5","0.8","3.2","0.6","56057","1846","73178","2710","(X)","(X)","27.1","(X)","(X)","(X)","100120","3902","1.6","0.6","1.8","0.6","5.5","1.1","9.7","1.5","14.5","1.8","23.5","2.1","15.6","1.6","17.3","1.8","6.1","1.0","4.2","0.8","65583","3008","10.4","86194","3223","(X)","(X)","(X)","(X)","(X)","(X)","70638","3737","14.7","2.3","17.0","2.3","18.5","2.1","15.0","2.3","1.9","11.0","1.8","4.9","1.3","2.4","0.8","0.6","0.4","1.3","0.6","24845","1715","35234","2027","(X)","(X)","(X)","(X)","22.5","(X)","14.5"
"310M100US16940","Cheyenne, WY Metro Area","35245","1545","4.7","1.8","7.2","2.3","7.5","2.0","12.1","2.7","15.2","2.9","17.3","2.7","2.5","13.4","2.5","6.3","1.8","2.3","1.0","54192","4434","70147","5044","16.8","(X)","(X)","(X)","(X)","(X)","23598","1460","3.7","1.6","3.8","2.5","2.6","1.4","7.2","2.2","16.0","3.7","20.5","3.7","16.9","3.2","17.1","3.3","9.2","2.8","2.8","1.4","68441","6865","83579","6811","(X)","(X)","15.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","82890","6646","13.9","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11647","1527","8.1","4.3","15.4","4.8","18.2","5.9","20.5","6.1","6.2","9.4","3.1","7.9","4.8","3.3","2.6","0.1","0.2","1.1","1.1","29189","5605","38582","5580","(X)","(X)","(X)","(X)","20.0","(X)","15.9"
"310M100US16980","Chicago-Joliet-Naperville, IL-IN-WI Metro Area","3426426","11342","7.3","0.2","4.6","0.2","9.5","0.2","9.0","0.2","12.7","0.3","17.4","0.3","0.3","14.6","0.3","5.9","0.2","6.1","0.2","59261","627","80886","691","30.7","(X)","(X)","(X)","(X)","(X)","2260927","16171","4.6","0.2","2.9","0.2","7.2","0.3","7.9","0.3","11.6","0.3","17.5","0.4","14.5","0.4","18.0","0.4","7.7","0.2","8.0","0.2","72164","703","94659","924","(X)","(X)","31.9","(X)","(X)","(X)","1630328","18625","1.4","0.1","1.2","0.1","4.3","0.2","6.1","0.3","10.4","0.4","17.3","0.5","16.3","0.5","22.3","0.5","10.0","0.3","10.7","0.3","88845","1029","12.9","112385","1179","(X)","(X)","(X)","(X)","(X)","(X)","1165499","13331","13.6","0.5","8.3","0.4","14.4","0.5","11.3","0.5","0.5","17.1","0.5","9.2","0.4","7.1","0.4","2.3","0.2","2.2","0.2","36837","487","51662","1047","(X)","(X)","(X)","(X)","26.8","(X)","14.5"
"310M100US17020","Chico, CA Metro Area","85388","1774","8.6","1.4","6.9","1.2","14.2","1.6","13.4","2.0","14.3","1.9","17.9","2.0","1.5","9.0","1.4","3.3","0.9","2.5","0.8","40960","1995","57473","2639","26.9","(X)","(X)","(X)","(X)","(X)","52697","2345","5.4","1.5","3.6","1.1","11.5","2.1","13.4","2.6","14.7","2.6","20.2","2.7","12.8","2.0","10.8","1.9","4.2","1.2","3.3","1.2","51246","3821","65976","3522","(X)","(X)","25.1","(X)","(X)","(X)","37354","2059","2.0","1.1","1.9","1.2","7.8","2.2","11.0","2.6","15.3","3.2","22.8","2.9","15.6","2.7","13.5","2.5","5.6","1.7","4.5","1.6","61663","3202","9.7","77533","4846","(X)","(X)","(X)","(X)","(X)","(X)","32691","2260","15.9","3.0","12.7","2.7","18.9","2.9","13.9","3.2","2.8","12.7","3.0","4.8","2.0","5.5","2.2","1.8","1.2","0.8","0.7","27271","3103","40838","4597","(X)","(X)","(X)","(X)","27.4","(X)","13.0"
"310M100US17060","Chillicothe, OH Micro Area","27948","1084","9.0","2.2","8.0","2.0","12.9","2.7","10.8","2.8","16.8","2.9","19.6","3.5","3.2","8.2","2.6","1.5","0.9","2.0","1.1","42951","3233","54194","3592","19.7","(X)","(X)","(X)","(X)","(X)","18459","1365","6.3","3.0","4.1","2.2","10.5","3.2","10.6","4.0","16.1","3.8","23.8","4.3","13.5","4.0","10.0","3.8","2.2","1.4","3.0","1.6","53639","5743","63565","5089","(X)","(X)","19.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","61909","5211","11.2","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9489","1071","17.4","5.3","16.1","4.8","16.2","4.4","11.9","3.9","5.2","11.6","4.9","5.6","5.0","2.8","2.2","0.0","1.4","0.0","1.4","25442","7449","32507","4417","(X)","(X)","(X)","(X)","19.7","(X)","18.4"
"310M100US17140","Cincinnati-Middletown, OH-KY-IN Metro Area","825221","5474","8.0","0.5","5.3","0.4","11.1","0.5","9.7","0.4","13.2","0.6","18.6","0.6","0.6","12.6","0.5","5.0","0.3","4.1","0.4","52439","770","70807","1295","28.5","(X)","(X)","(X)","(X)","(X)","537185","6220","5.2","0.5","3.2","0.4","7.6","0.6","7.8","0.5","11.9","0.7","19.8","0.8","15.0","0.8","16.8","0.7","7.0","0.5","5.8","0.5","67617","1079","85296","1817","(X)","(X)","29.0","(X)","(X)","(X)","395881","6118","1.1","0.2","1.2","0.2","4.1","0.4","5.7","0.5","10.8","0.8","21.1","0.9","17.9","1.0","21.5","0.8","9.0","0.7","7.5","0.7","82854","1470","12.3","101587","2413","(X)","(X)","(X)","(X)","(X)","(X)","288036","5841","14.4","1.1","9.7","0.8","18.6","1.1","13.4","0.9","1.0","15.6","1.0","6.2","0.7","4.3","0.6","1.2","0.3","0.9","0.3","30529","765","41349","1441","(X)","(X)","(X)","(X)","26.2","(X)","15.8"
"310M100US17220","Clarksburg, WV Micro Area","37839","1122","10.5","2.3","8.2","2.0","14.4","2.7","13.3","2.4","13.0","2.0","17.4","2.0","1.9","9.1","1.7","2.4","1.2","1.4","0.7","40108","4713","52583","3418","30.5","(X)","(X)","(X)","(X)","(X)","24276","1676","7.7","2.8","3.7","2.2","12.2","2.9","12.0","2.6","14.1","2.8","20.5","2.7","12.8","2.8","12.4","2.7","2.5","1.2","1.9","1.0","50298","4714","61870","4335","(X)","(X)","29.0","(X)","(X)","(X)","18290","1444","3.3","2.1","2.4","1.8","9.7","2.9","11.4","2.9","13.2","2.9","23.3","3.4","14.8","3.3","16.3","3.5","3.4","1.6","2.3","1.2","62331","3689","10.2","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13563","1356","18.6","4.4","16.9","4.6","18.4","5.2","13.9","3.7","3.5","12.1","3.7","4.8","2.5","2.4","1.5","2.2","2.2","0.4","0.8","21714","2658","33757","4712","(X)","(X)","(X)","(X)","28.9","(X)","10.3"
"310M100US17300","Clarksville, TN-KY Metro Area","101067","2429","7.7","1.2","4.9","1.0","12.9","1.6","13.9","2.0","16.6","1.8","21.3","1.9","1.5","8.3","1.3","1.5","0.6","1.6","0.6","44392","2078","55511","2266","33.5","(X)","(X)","(X)","(X)","(X)","75446","2537","5.2","1.2","3.8","1.2","12.0","1.9","13.4","2.3","16.8","2.1","22.1","2.5","12.7","1.7","9.9","1.6","2.0","0.7","2.1","0.8","48854","2361","61173","2873","(X)","(X)","32.2","(X)","(X)","(X)","54276","2494","0.6","0.4","1.2","0.7","6.9","1.6","12.2","2.6","18.6","2.6","26.2","2.9","16.1","2.3","12.9","2.2","2.8","1.0","2.6","1.0","60753","1986","11.3","N","N","(X)","(X)","(X)","(X)","(X)","(X)","25621","2051","16.9","3.6","11.0","3.1","17.2","3.3","14.1","3.2","3.5","15.9","3.6","6.2","2.4","2.3","1.6","0.2","0.3","0.1","0.1","27345","2231","34807","2585","(X)","(X)","(X)","(X)","32.0","(X)","16.1"
"310M100US17340","Clearlake, CA Micro Area","26228","1561","14.5","3.7","11.9","3.9","13.0","3.3","12.0","2.8","14.4","3.1","15.7","4.0","2.7","5.9","2.3","1.2","1.1","1.7","1.6","33219","6837","45352","4524","32.9","(X)","(X)","(X)","(X)","(X)","15708","1775","5.8","2.9","3.5","2.8","15.8","4.9","10.6","3.4","18.1","4.8","19.7","4.9","14.1","4.0","8.6","3.8","1.1","1.1","2.7","2.6","45590","7344","56112","5663","(X)","(X)","33.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","58150","7997","9.6","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10520","1427","27.7","7.6","23.4","7.7","13.0","5.4","12.3","4.7","4.0","11.5","6.7","1.9","1.5","1.3","1.5","0.0","1.5","0.2","0.4","14418","4906","26983","5615","(X)","(X)","(X)","(X)","30.5","(X)","8.8"
"310M100US17420","Cleveland, TN Metro Area","46079","1219","9.0","2.0","8.4","2.5","15.1","2.3","14.2","2.9","16.4","3.0","16.8","2.5","2.1","8.1","2.1","2.0","0.9","0.7","0.5","38343","2926","50412","4107","33.8","(X)","(X)","(X)","(X)","(X)","31822","1703","5.3","1.8","5.5","2.5","11.9","2.8","14.4","2.9","18.1","3.6","18.4","3.0","11.6","2.9","11.0","3.0","2.9","1.4","1.0","0.7","44808","4854","58739","5234","(X)","(X)","35.8","(X)","(X)","(X)","23006","1723","1.6","1.0","3.6","2.4","9.1","2.8","14.0","3.4","16.8","3.8","20.3","3.6","14.9","3.7","14.3","4.0","4.0","1.9","1.3","1.0","55857","8126","9.3","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14257","1679","19.2","5.1","16.6","4.6","22.0","5.5","13.1","5.5","4.7","11.4","4.4","2.5","1.9","1.7","1.5","0.0","1.1","0.1","0.3","20912","2883","29758","4192","(X)","(X)","(X)","(X)","27.6","(X)","13.4"
"310M100US17460","Cleveland-Elyria-Mentor, OH Metro Area","839838","5029","9.5","0.4","6.4","0.4","12.0","0.5","11.0","0.5","13.5","0.5","17.6","0.6","0.4","11.5","0.4","3.5","0.2","3.7","0.3","46944","665","65049","879","29.1","(X)","(X)","(X)","(X)","(X)","514092","7024","5.8","0.4","3.7","0.4","7.9","0.5","9.2","0.6","12.8","0.6","19.3","0.7","14.6","0.6","16.2","0.7","5.1","0.4","5.4","0.4","62842","1263","80941","1256","(X)","(X)","30.2","(X)","(X)","(X)","361534","6866","1.4","0.3","1.8","0.3","4.3","0.5","6.9","0.6","11.7","0.6","20.7","0.8","17.8","0.7","21.1","0.8","7.0","0.6","7.4","0.6","78696","1510","11.4","98108","1730","(X)","(X)","(X)","(X)","(X)","(X)","325746","6230","16.3","0.9","10.9","0.8","18.8","1.0","14.4","0.8","0.8","14.3","0.9","5.9","0.5","3.3","0.5","0.8","0.2","0.9","0.2","27416","857","38206","1114","(X)","(X)","(X)","(X)","26.4","(X)","14.3"
"310M100US17620","Coamo, PR Micro Area","24688","1291","31.4","4.9","12.5","2.9","20.8","4.3","11.1","2.9","12.6","3.5","8.8","2.6","1.2","0.3","0.5","0.9","1.3","0.0","0.8","17970","1843","23863","2368","15.8","(X)","(X)","(X)","(X)","(X)","18117","1535","27.7","5.3","11.2","3.7","21.7","4.7","13.6","3.9","13.3","4.3","9.7","3.4","1.7","1.5","0.0","1.0","1.2","1.7","0.0","1.0","19647","2297","25430","3004","(X)","(X)","16.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","28040","3612","1.6","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6571","1144","45.7","9.4","15.7","6.0","17.8","8.4","5.5","5.2","4.8","4.8","3.7","1.3","1.6","1.2","2.0","0.0","2.8","0.0","2.8","10916","2157","17766","3561","(X)","(X)","(X)","(X)","11.6","(X)","7.9"
"310M100US17660","Coeur d'Alene, ID Metro Area","55848","1822","4.3","1.6","7.3","2.2","11.0","2.3","13.1","2.5","16.9","2.6","21.7","3.2","2.7","10.2","2.4","2.2","1.2","1.7","0.8","46870","3512","58105","3288","22.6","(X)","(X)","(X)","(X)","(X)","38380","2140","4.7","1.9","3.7","2.0","6.8","2.3","11.3","2.7","16.8","3.1","26.0","3.9","12.3","3.3","12.9","3.0","3.1","1.8","2.4","1.1","55613","4518","66550","4178","(X)","(X)","20.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","61975","3167","11.6","N","N","(X)","(X)","(X)","(X)","(X)","(X)","17468","1921","9.5","3.6","13.3","4.9","21.6","5.4","16.9","5.8","4.3","12.6","6.3","6.9","3.2","3.1","2.4","0.1","0.1","0.0","0.1","28972","4530","35195","3697","(X)","(X)","(X)","(X)","25.9","(X)","15.9"
"310M100US17780","College Station-Bryan, TX Metro Area","82134","2613","15.8","2.1","6.7","1.3","11.6","1.9","10.4","1.6","13.5","1.9","15.6","2.3","1.7","9.9","1.4","2.5","0.9","3.5","0.7","40346","2882","57471","2723","34.8","(X)","(X)","(X)","(X)","(X)","47664","2356","5.4","1.6","3.3","1.3","9.9","2.3","10.0","2.1","12.8","2.2","19.1","3.0","13.8","2.5","15.8","2.3","4.6","1.6","5.3","1.1","58895","3957","77572","4034","(X)","(X)","34.1","(X)","(X)","(X)","34946","2310","1.9","1.0","2.6","1.2","6.1","2.0","7.8","1.8","11.0","2.4","20.3","3.2","15.8","3.3","21.0","3.1","6.3","2.2","7.3","1.5","75344","4945","10.4","92558","5167","(X)","(X)","(X)","(X)","(X)","(X)","34470","1974","31.5","4.9","11.7","2.5","15.3","3.3","11.3","2.9","2.5","10.1","2.9","5.5","2.4","1.6","0.9","0.1","0.1","0.2","0.3","19472","3524","27893","2516","(X)","(X)","(X)","(X)","35.1","(X)","12.7"
"310M100US17820","Colorado Springs, CO Metro Area","247950","2710","5.6","0.7","4.1","0.6","11.0","0.9","9.1","0.9","14.4","1.1","19.0","1.2","1.0","14.3","1.1","5.4","0.7","3.7","0.6","55320","1791","72961","2614","24.5","(X)","(X)","(X)","(X)","(X)","168631","3667","3.3","0.6","2.5","0.7","7.7","1.0","7.4","1.1","13.2","1.3","19.5","1.6","16.4","1.4","18.0","1.4","7.2","0.9","4.8","0.7","69370","3716","85352","3472","(X)","(X)","24.2","(X)","(X)","(X)","129646","3773","1.2","0.5","1.5","0.6","5.3","1.0","6.0","1.2","11.4","1.4","19.8","1.8","18.5","1.6","21.4","1.8","9.0","1.2","5.9","1.0","80604","2559","13.3","96355","4358","(X)","(X)","(X)","(X)","(X)","(X)","79319","3733","11.4","1.8","8.2","1.6","18.8","2.1","14.2","1.9","2.3","16.6","2.2","7.0","1.4","4.6","1.1","1.3","0.5","1.3","0.7","32140","2052","43446","2331","(X)","(X)","(X)","(X)","22.9","(X)","16.7"
"310M100US17860","Columbia, MO Metro Area","69963","1450","11.2","2.2","6.1","1.3","11.8","2.2","12.8","2.2","12.6","2.3","16.5","2.2","1.7","12.4","1.9","2.7","0.9","3.7","1.1","43172","3906","66732","4960","24.3","(X)","(X)","(X)","(X)","(X)","38539","2166","3.7","1.6","2.5","1.3","8.7","2.2","10.0","2.2","11.1","2.5","19.0","3.2","14.8","2.5","19.1","2.8","4.6","1.7","6.7","2.1","68983","4637","93335","9737","(X)","(X)","21.2","(X)","(X)","(X)","30368","1947","1.9","1.1","0.7","0.6","4.9","2.1","8.2","2.4","11.1","3.1","19.5","3.5","17.7","3.0","22.4","3.5","5.7","2.1","7.9","2.6","77847","4227","10.3","N","N","(X)","(X)","(X)","(X)","(X)","(X)","31424","2165","20.8","4.6","11.0","2.7","16.2","3.8","16.9","4.1","4.0","12.9","3.3","4.1","1.6","4.3","2.1","0.1","0.2","0.1","0.2","26085","2683","32755","2808","(X)","(X)","(X)","(X)","26.8","(X)","13.7"
"310M100US17900","Columbia, SC Metro Area","294039","3400","8.5","0.8","5.5","0.6","11.3","0.9","10.4","0.8","15.2","1.0","19.2","1.1","0.8","11.2","0.9","4.0","0.6","2.7","0.4","48763","1672","62870","1359","35.2","(X)","(X)","(X)","(X)","(X)","192199","4667","5.8","0.8","3.4","0.7","8.2","0.9","9.0","1.0","13.5","1.2","20.7","1.4","15.5","1.2","14.8","1.2","5.6","0.9","3.5","0.6","61489","1621","74280","1810","(X)","(X)","35.7","(X)","(X)","(X)","133350","3734","1.5","0.5","1.5","0.5","5.0","0.7","6.0","1.0","12.0","1.4","23.1","1.8","19.5","1.7","19.3","1.7","7.1","1.4","5.0","0.8","76174","2468","12.1","89253","2477","(X)","(X)","(X)","(X)","(X)","(X)","101840","5135","15.0","1.9","9.5","1.4","17.7","2.0","13.8","1.6","1.7","16.0","1.8","5.2","1.1","3.7","0.8","0.9","0.4","1.0","0.5","30106","1543","39406","1645","(X)","(X)","(X)","(X)","33.9","(X)","17.2"
