"","MSA","year","FIRM","ESTB","naics_code","naics_descr"
"90",14460,2010,1849,1974,"611","Educational services"
"91",14460,2010,9403,12777,"62","Health care and social assistance"
"92",14460,2010,6881,8078,"621","Ambulatory health care services"
"93",14460,2010,56,94,"622","Hospitals"
"94",14460,2010,453,1654,"623","Nursing and residential care facilities"
"95",14460,2010,2162,2951,"624","Social assistance"
"96",14460,2010,1979,2134,"71","Arts, entertainment, and recreation"
"97",14460,2010,480,491,"711","Performing arts, spectator sports, and related industries"
"98",14460,2010,151,171,"712","Museums, historical sites, and similar institutions"
"99",14460,2010,1349,1472,"713","Amusement, gambling, and recreation industries"
"100",14460,2010,8669,11297,"72","Accommodation and food services"
"101",14460,2010,467,612,"721","Accommodation"
"102",14460,2010,8208,10685,"722","Food services and drinking places"
"103",14460,2010,11070,12187,"81","Other services (except public administration)"
"104",14460,2010,3082,3279,"811","Repair and maintenance"
"105",14460,2010,3892,4753,"812","Personal and laundry services"
"106",14460,2010,4097,4155,"813","Religious, grantmaking, civic, professional, and similar organizations"
"107",14460,2010,345,345,"99","Industries not classified"
"108",14860,2010,23181,27027,"--","Total"
"109",14860,2010,16,16,"11","Agriculture, forestry, fishing and hunting"
"110",14860,2010,1,1,"114","Fishing, hunting and trapping"
"111",14860,2010,15,15,"115","Support activities for agriculture and forestry"
"112",14860,2010,11,12,"21","Mining, quarrying, and oil and gas extraction"
"113",14860,2010,1,1,"211","Oil and gas extraction"
"114",14860,2010,7,8,"212","Mining (except oil and gas)"
"115",14860,2010,3,3,"213","Support activities for mining"
"116",14860,2010,28,50,"22","Utilities"
"117",14860,2010,28,50,"221","Utilities"
"118",14860,2010,2253,2260,"23","Construction"
"119",14860,2010,673,674,"236","Construction of buildings"
"120",14860,2010,103,103,"237","Heavy and civil engineering construction"
"121",14860,2010,1477,1483,"238","Specialty trade contractors"
"122",14860,2010,876,897,"31-33","Manufacturing"
"123",14860,2010,71,72,"311","Food manufacturing"
"124",14860,2010,6,6,"312","Beverage and tobacco product manufacturing"
"125",14860,2010,6,6,"313","Textile mills"
"126",14860,2010,24,25,"314","Textile product mills"
"127",14860,2010,8,8,"315","Apparel manufacturing"
"128",14860,2010,3,3,"316","Leather and allied product manufacturing"
"129",14860,2010,19,19,"321","Wood product manufacturing"
"130",14860,2010,9,9,"322","Paper manufacturing"
"131",14860,2010,108,108,"323","Printing and related support activities"
"132",14860,2010,4,7,"324","Petroleum and coal products manufacturing"
"133",14860,2010,47,47,"325","Chemical manufacturing"
"134",14860,2010,30,30,"326","Plastics and rubber products manufacturing"
"135",14860,2010,28,31,"327","Nonmetallic mineral product manufacturing"
"136",14860,2010,10,12,"331","Primary metal manufacturing"
"137",14860,2010,147,148,"332","Fabricated metal product manufacturing"
"138",14860,2010,73,74,"333","Machinery manufacturing"
"139",14860,2010,80,81,"334","Computer and electronic product manufacturing"
"140",14860,2010,36,36,"335","Electrical equipment, appliance, and component manufacturing"
"141",14860,2010,22,24,"336","Transportation equipment manufacturing"
"142",14860,2010,67,67,"337","Furniture and related product manufacturing"
"143",14860,2010,84,84,"339","Miscellaneous manufacturing"
"144",14860,2010,1291,1411,"42","Wholesale trade"
"145",14860,2010,653,734,"423","Merchant wholesalers, durable goods"
"146",14860,2010,465,495,"424","Merchant wholesalers, nondurable goods"
"147",14860,2010,182,182,"425","Wholesale electronic markets and agents and brokers"
"148",14860,2010,2740,3537,"44-45","Retail trade"
"149",14860,2010,204,243,"441","Motor vehicle and parts dealers"
"150",14860,2010,181,248,"442","Furniture and home furnishings stores"
"151",14860,2010,122,177,"443","Electronics and appliance stores"
"152",14860,2010,257,304,"444","Building material and garden equipment and supplies dealers"
"153",14860,2010,485,549,"445","Food and beverage stores"
"154",14860,2010,154,274,"446","Health and personal care stores"
"155",14860,2010,230,262,"447","Gasoline stations"
"156",14860,2010,357,615,"448","Clothing and clothing accessories stores"
"157",14860,2010,191,224,"451","Sporting goods, hobby, book, and music stores"
"158",14860,2010,43,66,"452","General merchandise stores"
"159",14860,2010,319,362,"453","Miscellaneous store retailers"
"160",14860,2010,207,213,"454","Nonstore retailers"
"161",14860,2010,421,465,"48-49","Transportation and warehousing"
"162",14860,2010,18,19,"481","Air transportation"
"163",14860,2010,18,18,"483","Water transportation"
"164",14860,2010,103,104,"484","Truck transportation"
"165",14860,2010,131,154,"485","Transit and ground passenger transportation"
"166",14860,2010,2,3,"486","Pipeline transportation"
"167",14860,2010,107,109,"488","Support activities for transportation"
"168",14860,2010,24,36,"492","Couriers and messengers"
"169",14860,2010,22,22,"493","Warehousing and storage"
"170",14860,2010,435,593,"51","Information"
"171",14860,2010,184,211,"511","Publishing industries (except Internet)"
"172",14860,2010,98,107,"512","Motion picture and sound recording industries"
"173",14860,2010,15,20,"515","Broadcasting (except Internet)"
"174",14860,2010,49,151,"517","Telecommunications"
"175",14860,2010,49,54,"518","Data processing, hosting and related services"
"176",14860,2010,48,50,"519","Other information services"
"177",14860,2010,1667,2533,"52","Finance and insurance"
"178",14860,2010,221,750,"522","Credit intermediation and related activities"
"179",14860,2010,978,1189,"523","Securities, commodity contracts, and other financial investments and related activities"
"180",14860,2010,489,585,"524","Insurance carriers and related activities"
"181",14860,2010,9,9,"525","Funds, trusts, and other financial vehicles"
"182",14860,2010,849,1064,"53","Real estate and rental and leasing"
"183",14860,2010,744,916,"531","Real estate"
"184",14860,2010,87,130,"532","Rental and leasing services"
"185",14860,2010,18,18,"533","Lessors of nonfinancial intangible assets (except copyrighted works)"
"186",14860,2010,3381,3529,"54","Professional, scientific, and technical services"
"187",14860,2010,3381,3529,"541","Professional, scientific, and technical services"
"188",14860,2010,221,286,"55","Management of companies and enterprises"
"189",14860,2010,221,286,"551","Management of companies and enterprises"
"190",14860,2010,1740,1860,"56","Administrative and support and waste management and remediation services"
"191",14860,2010,1608,1722,"561","Administrative and support services"
"192",14860,2010,132,138,"562","Waste management and remediation services"
"193",14860,2010,434,450,"61","Educational services"
"194",14860,2010,434,450,"611","Educational services"
"195",14860,2010,2280,2806,"62","Health care and social assistance"
"196",14860,2010,1761,2002,"621","Ambulatory health care services"
"197",14860,2010,8,9,"622","Hospitals"
"198",14860,2010,81,213,"623","Nursing and residential care facilities"
"199",14860,2010,449,582,"624","Social assistance"
"200",14860,2010,524,552,"71","Arts, entertainment, and recreation"
"201",14860,2010,177,178,"711","Performing arts, spectator sports, and related industries"
"202",14860,2010,37,38,"712","Museums, historical sites, and similar institutions"
"203",14860,2010,311,336,"713","Amusement, gambling, and recreation industries"
"204",14860,2010,1849,2146,"72","Accommodation and food services"
"205",14860,2010,77,88,"721","Accommodation"
"206",14860,2010,1772,2058,"722","Food services and drinking places"
"207",14860,2010,2422,2516,"81","Other services (except public administration)"
"208",14860,2010,561,576,"811","Repair and maintenance"
"209",14860,2010,928,1005,"812","Personal and laundry services"
"210",14860,2010,933,935,"813","Religious, grantmaking, civic, professional, and similar organizations"
"211",14860,2010,44,44,"99","Industries not classified"
"212",25540,2010,23999,29549,"--","Total"
"213",25540,2010,23,23,"11","Agriculture, forestry, fishing and hunting"
"214",25540,2010,1,1,"113","Forestry and logging"
"215",25540,2010,1,1,"114","Fishing, hunting and trapping"
"216",25540,2010,21,21,"115","Support activities for agriculture and forestry"
"217",25540,2010,16,19,"21","Mining, quarrying, and oil and gas extraction"
"218",25540,2010,14,17,"212","Mining (except oil and gas)"
"219",25540,2010,2,2,"213","Support activities for mining"
"220",25540,2010,21,50,"22","Utilities"
"221",25540,2010,21,50,"221","Utilities"
"222",25540,2010,2682,2697,"23","Construction"
"223",25540,2010,691,692,"236","Construction of buildings"
"224",25540,2010,159,160,"237","Heavy and civil engineering construction"
"225",25540,2010,1833,1845,"238","Specialty trade contractors"
"226",25540,2010,1612,1679,"31-33","Manufacturing"
"227",25540,2010,88,91,"311","Food manufacturing"
"228",25540,2010,13,13,"312","Beverage and tobacco product manufacturing"
"229",25540,2010,7,7,"313","Textile mills"
"230",25540,2010,25,25,"314","Textile product mills"
"231",25540,2010,4,4,"315","Apparel manufacturing"
"232",25540,2010,2,2,"316","Leather and allied product manufacturing"
"233",25540,2010,35,35,"321","Wood product manufacturing"
"234",25540,2010,21,21,"322","Paper manufacturing"
"235",25540,2010,126,129,"323","Printing and related support activities"
"236",25540,2010,4,7,"324","Petroleum and coal products manufacturing"
"237",25540,2010,44,45,"325","Chemical manufacturing"
"238",25540,2010,55,56,"326","Plastics and rubber products manufacturing"
"239",25540,2010,43,50,"327","Nonmetallic mineral product manufacturing"
"240",25540,2010,17,17,"331","Primary metal manufacturing"
"241",25540,2010,544,556,"332","Fabricated metal product manufacturing"
"242",25540,2010,202,206,"333","Machinery manufacturing"
"243",25540,2010,70,71,"334","Computer and electronic product manufacturing"
"244",25540,2010,47,48,"335","Electrical equipment, appliance, and component manufacturing"
"245",25540,2010,84,92,"336","Transportation equipment manufacturing"
"246",25540,2010,82,83,"337","Furniture and related product manufacturing"
"247",25540,2010,120,121,"339","Miscellaneous manufacturing"
"248",25540,2010,1336,1465,"42","Wholesale trade"
"249",25540,2010,829,915,"423","Merchant wholesalers, durable goods"
"250",25540,2010,340,372,"424","Merchant wholesalers, nondurable goods"
"251",25540,2010,175,178,"425","Wholesale electronic markets and agents and brokers"
"252",25540,2010,3078,4332,"44-45","Retail trade"
"253",25540,2010,343,447,"441","Motor vehicle and parts dealers"
"254",25540,2010,165,240,"442","Furniture and home furnishings stores"
"255",25540,2010,100,166,"443","Electronics and appliance stores"
"256",25540,2010,291,353,"444","Building material and garden equipment and supplies dealers"
"257",25540,2010,654,760,"445","Food and beverage stores"
"258",25540,2010,167,359,"446","Health and personal care stores"
"259",25540,2010,241,330,"447","Gasoline stations"
"260",25540,2010,323,621,"448","Clothing and clothing accessories stores"
"261",25540,2010,173,242,"451","Sporting goods, hobby, book, and music stores"
"262",25540,2010,43,131,"452","General merchandise stores"
"263",25540,2010,331,396,"453","Miscellaneous store retailers"
"264",25540,2010,274,287,"454","Nonstore retailers"
"265",25540,2010,469,571,"48-49","Transportation and warehousing"
"266",25540,2010,15,19,"481","Air transportation"
"267",25540,2010,1,1,"483","Water transportation"
"268",25540,2010,205,211,"484","Truck transportation"
"269",25540,2010,69,119,"485","Transit and ground passenger transportation"
"270",25540,2010,3,4,"486","Pipeline transportation"
"271",25540,2010,9,9,"487","Scenic and sightseeing transportation"
"272",25540,2010,99,105,"488","Support activities for transportation"
"273",25540,2010,40,59,"492","Couriers and messengers"
"274",25540,2010,35,44,"493","Warehousing and storage"
"275",25540,2010,285,503,"51","Information"
"276",25540,2010,89,110,"511","Publishing industries (except Internet)"
"277",25540,2010,51,56,"512","Motion picture and sound recording industries"
"278",25540,2010,26,35,"515","Broadcasting (except Internet)"
"279",25540,2010,40,196,"517","Telecommunications"
"280",25540,2010,47,64,"518","Data processing, hosting and related services"
"281",25540,2010,40,42,"519","Other information services"
"282",25540,2010,1183,2084,"52","Finance and insurance"
"283",25540,2010,1,1,"521","Monetary authorities- central bank"
"284",25540,2010,217,713,"522","Credit intermediation and related activities"
"285",25540,2010,302,401,"523","Securities, commodity contracts, and other financial investments and related activities"
"286",25540,2010,686,968,"524","Insurance carriers and related activities"
"287",25540,2010,1,1,"525","Funds, trusts, and other financial vehicles"
"288",25540,2010,823,1082,"53","Real estate and rental and leasing"
"289",25540,2010,711,899,"531","Real estate"
"290",25540,2010,102,172,"532","Rental and leasing services"
"291",25540,2010,11,11,"533","Lessors of nonfinancial intangible assets (except copyrighted works)"
"292",25540,2010,2719,2877,"54","Professional, scientific, and technical services"
"293",25540,2010,2719,2877,"541","Professional, scientific, and technical services"
"294",25540,2010,179,267,"55","Management of companies and enterprises"
"295",25540,2010,179,267,"551","Management of companies and enterprises"
"296",25540,2010,1487,1623,"56","Administrative and support and waste management and remediation services"
"297",25540,2010,1386,1502,"561","Administrative and support services"
"298",25540,2010,102,121,"562","Waste management and remediation services"
"299",25540,2010,353,365,"61","Educational services"
"300",25540,2010,353,365,"611","Educational services"
"301",25540,2010,2568,3547,"62","Health care and social assistance"
"302",25540,2010,1859,2350,"621","Ambulatory health care services"
"303",25540,2010,17,20,"622","Hospitals"
"304",25540,2010,192,441,"623","Nursing and residential care facilities"
"305",25540,2010,554,736,"624","Social assistance"
"306",25540,2010,440,471,"71","Arts, entertainment, and recreation"
"307",25540,2010,92,93,"711","Performing arts, spectator sports, and related industries"
"308",25540,2010,36,38,"712","Museums, historical sites, and similar institutions"
"309",25540,2010,312,340,"713","Amusement, gambling, and recreation industries"
"310",25540,2010,2105,2631,"72","Accommodation and food services"
"311",25540,2010,121,140,"721","Accommodation"
"312",25540,2010,1984,2491,"722","Food services and drinking places"
"313",25540,2010,2975,3214,"81","Other services (except public administration)"
"314",25540,2010,801,853,"811","Repair and maintenance"
"315",25540,2010,951,1128,"812","Personal and laundry services"
"316",25540,2010,1223,1233,"813","Religious, grantmaking, civic, professional, and similar organizations"
"317",25540,2010,49,49,"99","Industries not classified"
"318",35300,2010,16763,19607,"--","Total"
"319",35300,2010,8,8,"11","Agriculture, forestry, fishing and hunting"
"320",35300,2010,4,4,"114","Fishing, hunting and trapping"
"321",35300,2010,4,4,"115","Support activities for agriculture and forestry"
"322",35300,2010,9,10,"21","Mining, quarrying, and oil and gas extraction"
"323",35300,2010,9,10,"212","Mining (except oil and gas)"
"324",35300,2010,21,38,"22","Utilities"
"325",35300,2010,21,38,"221","Utilities"
"326",35300,2010,1744,1748,"23","Construction"
"327",35300,2010,411,411,"236","Construction of buildings"
"328",35300,2010,75,75,"237","Heavy and civil engineering construction"
"329",35300,2010,1259,1262,"238","Specialty trade contractors"
"330",35300,2010,1140,1179,"31-33","Manufacturing"
"331",35300,2010,81,81,"311","Food manufacturing"
"332",35300,2010,6,6,"312","Beverage and tobacco product manufacturing"
"333",35300,2010,6,6,"313","Textile mills"
"334",35300,2010,19,21,"314","Textile product mills"
"335",35300,2010,6,6,"315","Apparel manufacturing"
"336",35300,2010,1,1,"316","Leather and allied product manufacturing"
"337",35300,2010,27,27,"321","Wood product manufacturing"
"338",35300,2010,20,21,"322","Paper manufacturing"
"339",35300,2010,95,99,"323","Printing and related support activities"
"340",35300,2010,5,11,"324","Petroleum and coal products manufacturing"
"341",35300,2010,33,34,"325","Chemical manufacturing"
"342",35300,2010,48,49,"326","Plastics and rubber products manufacturing"
"343",35300,2010,30,32,"327","Nonmetallic mineral product manufacturing"
"344",35300,2010,24,27,"331","Primary metal manufacturing"
"345",35300,2010,305,310,"332","Fabricated metal product manufacturing"
"346",35300,2010,118,118,"333","Machinery manufacturing"
"347",35300,2010,100,100,"334","Computer and electronic product manufacturing"
"348",35300,2010,39,39,"335","Electrical equipment, appliance, and component manufacturing"
"349",35300,2010,46,47,"336","Transportation equipment manufacturing"
"350",35300,2010,52,52,"337","Furniture and related product manufacturing"
"351",35300,2010,92,92,"339","Miscellaneous manufacturing"
"352",35300,2010,994,1063,"42","Wholesale trade"
"353",35300,2010,627,676,"423","Merchant wholesalers, durable goods"
"354",35300,2010,266,283,"424","Merchant wholesalers, nondurable goods"
"355",35300,2010,104,104,"425","Wholesale electronic markets and agents and brokers"
"356",35300,2010,2169,2939,"44-45","Retail trade"
"357",35300,2010,229,277,"441","Motor vehicle and parts dealers"
"358",35300,2010,123,162,"442","Furniture and home furnishings stores"
"359",35300,2010,84,143,"443","Electronics and appliance stores"
"360",35300,2010,177,207,"444","Building material and garden equipment and supplies dealers"
"361",35300,2010,463,511,"445","Food and beverage stores"
"362",35300,2010,108,237,"446","Health and personal care stores"
"363",35300,2010,209,261,"447","Gasoline stations"
"364",35300,2010,249,428,"448","Clothing and clothing accessories stores"
"365",35300,2010,107,145,"451","Sporting goods, hobby, book, and music stores"
"366",35300,2010,36,109,"452","General merchandise stores"
"367",35300,2010,213,268,"453","Miscellaneous store retailers"
"368",35300,2010,186,191,"454","Nonstore retailers"
"369",35300,2010,347,388,"48-49","Transportation and warehousing"
"370",35300,2010,9,9,"481","Air transportation"
"371",35300,2010,3,4,"483","Water transportation"
"372",35300,2010,160,167,"484","Truck transportation"
"373",35300,2010,57,75,"485","Transit and ground passenger transportation"
"374",35300,2010,4,6,"486","Pipeline transportation"
"375",35300,2010,2,2,"487","Scenic and sightseeing transportation"
"376",35300,2010,60,61,"488","Support activities for transportation"
"377",35300,2010,20,25,"492","Couriers and messengers"
"378",35300,2010,35,39,"493","Warehousing and storage"
"379",35300,2010,197,348,"51","Information"
"380",35300,2010,61,67,"511","Publishing industries (except Internet)"
"381",35300,2010,33,34,"512","Motion picture and sound recording industries"
"382",35300,2010,18,23,"515","Broadcasting (except Internet)"
"383",35300,2010,31,161,"517","Telecommunications"
"384",35300,2010,28,32,"518","Data processing, hosting and related services"
"385",35300,2010,27,31,"519","Other information services"
"386",35300,2010,683,1073,"52","Finance and insurance"
"387",35300,2010,168,458,"522","Credit intermediation and related activities"
"388",35300,2010,173,229,"523","Securities, commodity contracts, and other financial investments and related activities"
"389",35300,2010,347,385,"524","Insurance carriers and related activities"
"390",35300,2010,1,1,"525","Funds, trusts, and other financial vehicles"
"391",35300,2010,567,682,"53","Real estate and rental and leasing"
"392",35300,2010,498,566,"531","Real estate"
"393",35300,2010,63,110,"532","Rental and leasing services"
"394",35300,2010,6,6,"533","Lessors of nonfinancial intangible assets (except copyrighted works)"
"395",35300,2010,1869,1961,"54","Professional, scientific, and technical services"
"396",35300,2010,1869,1961,"541","Professional, scientific, and technical services"
"397",35300,2010,92,116,"55","Management of companies and enterprises"
"398",35300,2010,92,116,"551","Management of companies and enterprises"
"399",35300,2010,948,998,"56","Administrative and support and waste management and remediation services"
"400",35300,2010,862,910,"561","Administrative and support services"
"401",35300,2010,86,88,"562","Waste management and remediation services"
"402",35300,2010,282,304,"61","Educational services"
"403",35300,2010,282,304,"611","Educational services"
"404",35300,2010,1881,2370,"62","Health care and social assistance"
"405",35300,2010,1397,1617,"621","Ambulatory health care services"
"406",35300,2010,10,10,"622","Hospitals"
"407",35300,2010,134,255,"623","Nursing and residential care facilities"
"408",35300,2010,370,488,"624","Social assistance"
"409",35300,2010,273,283,"71","Arts, entertainment, and recreation"
"410",35300,2010,62,62,"711","Performing arts, spectator sports, and related industries"
"411",35300,2010,19,20,"712","Museums, historical sites, and similar institutions"
"412",35300,2010,192,201,"713","Amusement, gambling, and recreation industries"
"413",35300,2010,1648,1880,"72","Accommodation and food services"
"414",35300,2010,79,84,"721","Accommodation"
"415",35300,2010,1569,1796,"722","Food services and drinking places"
"416",35300,2010,2072,2193,"81","Other services (except public administration)"
"417",35300,2010,572,599,"811","Repair and maintenance"
"418",35300,2010,727,817,"812","Personal and laundry services"
"419",35300,2010,773,777,"813","Religious, grantmaking, civic, professional, and similar organizations"
"420",35300,2010,26,26,"99","Industries not classified"
"421",35620,2010,466783,533395,"--","Total"
"422",35620,2010,319,320,"11","Agriculture, forestry, fishing and hunting"
"423",35620,2010,9,9,"113","Forestry and logging"
"424",35620,2010,69,70,"114","Fishing, hunting and trapping"
"425",35620,2010,241,241,"115","Support activities for agriculture and forestry"
"426",35620,2010,87,96,"21","Mining, quarrying, and oil and gas extraction"
"427",35620,2010,8,8,"211","Oil and gas extraction"
"428",35620,2010,60,69,"212","Mining (except oil and gas)"
"429",35620,2010,19,19,"213","Support activities for mining"
"430",35620,2010,144,526,"22","Utilities"
"431",35620,2010,144,526,"221","Utilities"
"432",35620,2010,43636,43887,"23","Construction"
"433",35620,2010,14360,14405,"236","Construction of buildings"
"434",35620,2010,1538,1584,"237","Heavy and civil engineering construction"
"435",35620,2010,27761,27898,"238","Specialty trade contractors"
"436",35620,2010,15980,16346,"31-33","Manufacturing"
"437",35620,2010,1948,1969,"311","Food manufacturing"
"438",35620,2010,122,125,"312","Beverage and tobacco product manufacturing"
"439",35620,2010,247,252,"313","Textile mills"
"440",35620,2010,349,351,"314","Textile product mills"
"441",35620,2010,1314,1320,"315","Apparel manufacturing"
"442",35620,2010,97,97,"316","Leather and allied product manufacturing"
"443",35620,2010,236,237,"321","Wood product manufacturing"
"444",35620,2010,248,256,"322","Paper manufacturing"
"445",35620,2010,2042,2061,"323","Printing and related support activities"
"446",35620,2010,64,82,"324","Petroleum and coal products manufacturing"
"447",35620,2010,773,822,"325","Chemical manufacturing"
"448",35620,2010,537,553,"326","Plastics and rubber products manufacturing"
"449",35620,2010,418,455,"327","Nonmetallic mineral product manufacturing"
"450",35620,2010,174,178,"331","Primary metal manufacturing"
"451",35620,2010,2060,2078,"332","Fabricated metal product manufacturing"
"452",35620,2010,806,817,"333","Machinery manufacturing"
"453",35620,2010,753,776,"334","Computer and electronic product manufacturing"
"454",35620,2010,346,350,"335","Electrical equipment, appliance, and component manufacturing"
"455",35620,2010,243,246,"336","Transportation equipment manufacturing"
"456",35620,2010,1121,1126,"337","Furniture and related product manufacturing"
"457",35620,2010,2181,2195,"339","Miscellaneous manufacturing"
"458",35620,2010,35473,37790,"42","Wholesale trade"
"459",35620,2010,16785,18206,"423","Merchant wholesalers, durable goods"
"460",35620,2010,14801,15601,"424","Merchant wholesalers, nondurable goods"
"461",35620,2010,3953,3983,"425","Wholesale electronic markets and agents and brokers"
"462",35620,2010,59567,75140,"44-45","Retail trade"
"463",35620,2010,2991,3736,"441","Motor vehicle and parts dealers"
"464",35620,2010,2881,3743,"442","Furniture and home furnishings stores"
"465",35620,2010,2484,3586,"443","Electronics and appliance stores"
"466",35620,2010,3540,4184,"444","Building material and garden equipment and supplies dealers"
"467",35620,2010,17164,18349,"445","Food and beverage stores"
"468",35620,2010,5169,7817,"446","Health and personal care stores"
"469",35620,2010,3374,3769,"447","Gasoline stations"
"470",35620,2010,8362,13640,"448","Clothing and clothing accessories stores"
"471",35620,2010,2522,3292,"451","Sporting goods, hobby, book, and music stores"
"472",35620,2010,1490,2195,"452","General merchandise stores"
"473",35620,2010,6047,6995,"453","Miscellaneous store retailers"
"474",35620,2010,3668,3834,"454","Nonstore retailers"
"475",35620,2010,12116,13454,"48-49","Transportation and warehousing"
"476",35620,2010,224,350,"481","Air transportation"
"477",35620,2010,126,185,"483","Water transportation"
"478",35620,2010,4601,4813,"484","Truck transportation"
"479",35620,2010,2890,3080,"485","Transit and ground passenger transportation"
"480",35620,2010,14,35,"486","Pipeline transportation"
"481",35620,2010,174,178,"487","Scenic and sightseeing transportation"
"482",35620,2010,2839,3105,"488","Support activities for transportation"
"483",35620,2010,759,977,"492","Couriers and messengers"
"484",35620,2010,564,731,"493","Warehousing and storage"
"485",35620,2010,7423,11087,"51","Information"
"486",35620,2010,1867,2175,"511","Publishing industries (except Internet)"
